B004QTBQ2C,309,"Samsung i9100 Galaxy S II Unlocked GSM Smartphone with 8 MP Camera, Android OS, 16 GB Internal Memory, Touchscreen, Wi-Fi, and GPS--No Warranty (Noble Black)",,,,,,,,,,,,,,,
B005HYU1YE,306,"Blackberry Bold Touch 9930 Verizon CDMA GSM Unlocked Phone with Touch Screen, 5MP Camera and Blackberry OS 7 - Unlocked Phone - No Warranty - Black",,,,,,,,,,,,,,,
B00FM7R1WG,302,ZTE Valet Android Prepaid Phone (TracFone),,,,,,,,,,,,,,,
B004ZLV5PE,298,Apple iPhone 4 16GB (Black) - AT&T,,,,,,,,,,,,,,,
B0034TZONM,297,"Blackberry 9700 Bold Unlocked Quad-Band 3G Smartphone with 3.2 MP Camera, GPS, Wi-Fi and Bluetooth--International Version with Warranty (Black)",,,,,,,,,,,,,,,
B00BV1MVJ0,295,Samsung Galaxy S4 White i9500 16GB Factory Unlocked International Verison - WHITE,,,,,,,,,,,,,,,
B004B9QNJS,294,Samsung i897 Captivate Android smartphone Galaxy S (Unlocked),,,,,,,,,,,,,,,
B004H23JXW,293,"Samsung Focus I917 Unlocked Phone with Windows 7 OS, 5 MP Camera, and Wi-Fi--No Warranty (Black)",,,,,,,,,,,,,,,
B0097CZBH4,288,"Apple iPhone 5, Black 16GB (Unlocked)",,,,,,,,,,,,,,,
B001OD2OAQ,287,"BlackBerry Curve 8900 Javelin Unlocked Phone with 3.2 MP Camera, GPS Navigation, Stereo Bluetooth, and MicroSD Slot--US Version with No Warranty (Black)",,,,,,,,,,,,,,,
B003X26SLC,286,"Nokia E5-00 Unlocked GSM Phone with Easy E-mail Setup, IM, QWERTY, 5 MP Camera, Ovi Store with Apps, and Free Ovi Maps Navigation (Black)",,,,,,,,,,,,,,,
B003X26SLM,286,"Nokia E5-00 Unlocked GSM Phone with Easy Email Setup, IM, QWERTY, 5 MP Camera, Ovi Store with Apps, and Free Ovi Maps Navigation (White)",,,,,,,,,,,,,,,
B00466R0V6,286,Blackberry 9530 Storm Unlocked For Any GSM Carrier Worldwide,,,,,,,,,,,,,,,
B0058GWR8O,286,BlackBerry Bold 9900 GSM Factory Unlocked Phone - No Warranty (Black),,,,,,,,,,,,,,,
